table,view,fluxogram
analytics_153789277.events_*,null,null
projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy,projeto_cf.ga4_153789277_events_table_natura_new_20240914_view,table:analytics_153789277.events_*|view:ga4_153789277_events_table_natura_new_20240914_view|table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy
projeto_cf.table_session_attribution_channel_group_by_user_BRASIL,projeto_cf.view_session_attribution_channel_group_by_user_BRASIL,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_session_attribution_channel_group_by_user_BRASIL|table:projeto_cf.table_session_attribution_channel_group_by_user_BRASIL
projeto_cf.table_session_scoped_attribution_by_device_natura,projeto_cf.view_session_scoped_attribution_by_device_natura,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_session_scoped_attribution_by_device_natura|table:projeto_cf.table_session_scoped_attribution_by_device_natura
projeto_cf.table_session_classification,projeto_cf.view_session_classification,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_session_classification|table:projeto_cf.table_session_classification
projeto_cf.table_transaction_attribution,projeto_cf.view_transaction_attribution,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_transaction_attribution|table:projeto_cf.table_transaction_attribution
projeto_cf.table_users_w_search,projeto_cf.view_users_w_search,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_users_w_search|table:projeto_cf.table_users_w_search
projeto_cf.view_checkout_funnel,projeto_cf.view_checkout_funnel,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_checkout_funnel
projeto_cf.view_checkout_funnel,projeto_cf.view_checkout_funnel,table:projeto_cf.table_session_attribution_channel_group_by_user_BRASIL|view:projeto_cf.view_checkout_funnel
projeto_cf.view_checkout_funnel,projeto_cf.view_checkout_funnel,table:projeto_cf.table_session_scoped_attribution_by_device_natura|view:projeto_cf.view_checkout_funnel
projeto_cf.table_checkout_funnel,projeto_cf.view_checkout_funnel,view:projeto_cf.view_checkout_funnel|table:projeto_cf.table_checkout_funnel
projeto_cf.table_errors_shopping_bag,projeto_cf.view_errors_shopping_bag,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_errors_shopping_bag|table:projeto_cf.table_errors_shopping_bag
projeto_cf.table_last_events_and_pages_of_sessions_w_checkout,projeto_cf.view_last_events_and_pages_of_sessions_w_checkout,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_last_events_and_pages_of_sessions_w_checkout|table:projeto_cf.table_last_events_and_pages_of_sessions_w_checkout
projeto_cf.view_login_data,projeto_cf.view_login_data,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_login_data
projeto_cf.view_login_data,projeto_cf.view_login_data,table:projeto_cf.table_session_scoped_attribution_by_device_natura|view:projeto_cf.view_login_data
projeto_cf.view_login_data,projeto_cf.view_login_data,table:projeto_cf.table_session_attribution_channel_group_by_user_BRASIL|view:projeto_cf.view_login_data
projeto_cf.table_login_data,projeto_cf.view_login_data,view:projeto_cf.view_login_data|table:projeto_cf.table_login_data
projeto_cf.table_login_errors,projeto_cf.view_login_errors,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_login_errors|table:projeto_cf.table_login_errors
projeto_cf.table_shopping_bag_data,projeto_cf.view_cart_data,table:analytics_153789277.events_*|view:projeto_cf.view_cart_data|table:projeto_cf.table_shopping_bag_data
projeto_cf.view_transaction_attribution_session_details,projeto_cf.view_transaction_attribution_session_details,table:projeto_cf.table_transaction_attribution|view:projeto_cf.view_transaction_attribution_session_details
projeto_cf.view_transaction_attribution_session_details,projeto_cf.view_transaction_attribution_session_details,table:projeto_cf.table_session_classification|view:projeto_cf.view_transaction_attribution_session_details
